Argentina,Canadá,Chile,Bolivia,Puerto Rico,Bosnia,Uruguay,Estados Unidos,México,Ecuador,Finlandia,Francia,Países Bajos,Panamá,Brasil,Venezuela,Reino Unido,España,El Salvador,Jamaica,Perú,Alemania,Sudáfrica,Portugal,Guyana,Israel,Dinamarca,Bélgica,Sierra Leona,Japón,Italia,Costa Rica,Polonia,Suiza,Colombia,Bogotá (Convocatoria Distrital)
Siete Delfines,Sum 41,Chancho en Piedra,Octavia,Puya,Dubioza Kolektiv,Cuarteto de Nos,Exodus,Café Tacvba,La Trifulca,Apocalyptica,Manu Chao,Agresión,Cienfue,Niños Con Bombas,Claroscuro,Paradise Lost,La Kinky Beat,Adhesivo,Skatalites,La Sarita,Niños con bombas,Blk Jks,Buraka Som Sistema,Mad Professor,Melechesh,Nekromantix,Aborted,Sierra Leone's Refugee All Stars,Blonde Redhead,Blonde Redhead,Las Robertas,Vader,Samael,Darkness,Lady Dick
Divididos,,Criminal,,Robi Draco Rosa,,No te va gustar,Dead Kennedys,Fobia,Rocola Bacalao,,Sargento Garcia,Laberinto,Filtro Medusa,Eminence,Los Amigos Invisibles,Carcass,Seguridad Social,Easy Easy,Ky-Mani Marley,Libido,Haggard,,Fischerspooner,,,,,,,,,Behemoth,,Killcrops,Milmarias
Luis Alberto Spinetta,,Floripondio,,Cultura Profética,,,D.R.I.,Jaguares,Sal y Mileto,,Ina Ich,,Señor Loop,Ratos de Porão,Desorden Público,Bloc Party,Fritanga,,Black Uhuru,Zopilotes,Destruction,,,,,,,,,,,Decapited,,Ursus,Brand new blood
A.N.I.M.A.L.,,Funkreal,,,,,Overkill,Maldita Vecindad,Obscura,,Dub Incorporation,,,Lenine,Plomo,Asian Dub Foundation,Kop,,Junior Kelly,Huelga de hambre,Atari Teenage Riot,,,,,,,,,,,,,Under Threat,Bhang
"Timmy O´ 
Tool",,Niños Con Bombas,,,,,Draco Rosa,Molotov,Muscaria,,,,,Black Drawing Chalks,Pan,"Anti-Nowhere 
League",Tom Cary,,,,Atom Tm,,,,,,,,,,,,,Sobibor,Stained glory
Divididos,,Dracma,,,,,Coheed And Cambria,Panda,SIQ,,,,,Krisiun,"Los 
Oceánicos",Skindred,Def con Dos,,,,,,,,,,,,,,,,,Neurosis,Pulenta
Mississipi Blues Band,,The Ganjas,,,,,"Earth 
Crisis",Resorte,"Cruks en 
Karnak",,,,,Sepultura,Sur Carabela,Steel Pulse,"Vita 
Imana",,,,,,,,,,,,,,,,,Purulent,Antipoda
Cabezones,,Gondwana,,,,,Fear Factory,Telefunka,Descomunal,,,,,,Caramelos de Cianuro,GBH,Los toreros muertos,,,,,,,,,,,,,,,,,Ethereal,Alfonso Espriella
Botafogo,,Guiso,,,,,Have Heart,Kinky,Sudakaya,,,,,,King Changó,,Delorean,,,,,,,,,,,,,,,,,Sangre picha,Red o clock
Carajo,,Los Bunkers,,,,,Suicidal Tendencies,Austin TV,Prime Ministers,,,,,,Papashanty,,Siniestro Total,,,,,,,,,,,,,,,,,Leishmaniasis,Pr1mal
"Catupecu 
Machu",,Los Tetas,,,,,VHS or BETA,Riesgo de Contagio,,,,,,,Spías,,Vita Imana,,,,,,,,,,,,,,,,,Ingrand,Endark
Auténticos Decadentes,,Surtek Collective,,,,,"Black 
Rebel Motorcycle Club",Los Concorde,,,,,,,Zapato 3,,"Nacho 
Vegas",,,,,,,,,,,,,,,,,De Bruces A Mi,Zagreb
Karamelo Santo,,"Los 
Mox!",,,,,Volumen Cero,"Panteón 
Rococó",,,,,,,Chuck Norris,,Vetusta Morla,,,,,,,,,,,,,,,,,Bajotierra,Under red blood skies
Todos tus Muertos,,Lucybell,,,,,Agent Steel,Brujería,,,,,,,Candy 66,,Soziedad Alkoholika,,,,,,,,,,,,,,,,,Parlantes,Hybrid minds
Miranda!,,Hoppo!,,,,,Death by Stereo,División Minúscula,,,,,,,Dischord,,Against The Waves.,,,,,,,,,,,,,,,,,Nepentes,José Fernando Cortes
Babasónicos,,Gepe,,,,,Anthrax,Zoé,,,,,,,Los Mentas.,,,,,,,,,,,,,,,,,,,Determinación,Maniatikatz
Turf,,Los Miserables,,,,,"Día 
de los Muertos",Plastilina Mosh,,,,,,,,,,,,,,,,,,,,,,,,,,Athanator,Info
Los Pericos,,Banda Conmoción,,,,,Monstrosity,Control Machete,,,,,,,,,,,,,,,,,,,,,,,,,,Twitligth glimmer,Purple zippers
Azafata,,Sinergia,,,,,Morbid Angel,Julieta Venegas,,,,,,,,,,,,,,,,,,,,,,,,,,Velo de oza,Altogrado
Horcas,,,,,,,Mutemath,Thermo,,,,,,,,,,,,,,,,,,,,,,,,,,Grito,Telebit
La Mosca Tse Tse,,,,,,,Shadows Fall,La Lupita,,,,,,,,,,,,,,,,,,,,,,,,,,Dafne Marahuntha,Entropía
Capri,,,,,,,Biohazard,Guillotina,,,,,,,,,,,,,,,,,,,,,,,,,,Panorama,Alligator
"Fito 
Páez",,,,,,,A Place to Bury Strangers,Ely Guerra,,,,,,,,,,,,,,,,,,,,,,,,,,Don Tetto,Vulgarxito
